rental_id,customer_id,store_id,movie_title,category,rental_date,rental_fee,discount,final_fee,loyalty_points
1,CUST058,Downtown Store,Coco,Animation,2024-10-08,4.45,0.5,3.95,1
2,CUST280,Downtown Store,Doctor Strange,Action,2025-03-08,2.32,0.0,2.32,2
3,CUST259,Suburban Store,Aladdin,Family,2024-01-28,7.61,3.0,4.61,8
4,CUST230,Suburban Store,Aladdin,Family,2024-10-11,10.09,0.0,10.09,10
5,CUST217,Mall Store,Up,Family,2024-10-11,3.55,1.0,2.55,1
6,CUST195,Downtown Store,Joker,Drama,2025-01-02,10.47,2.0,8.47,12
7,CUST236,Suburban Store,Frozen II,Family,2024-05-07,11.73,1.5,10.23,5
8,CUST151,Suburban Store,The Matrix,Sci-Fi,2025-01-05,7.77,3.0,4.77,2
9,CUST117,Mall Store,Frozen II,Family,2024-03-22,10.55,0.0,10.55,20
10,CUST233,Suburban Store,It Chapter Two,Horror,2025-01-08,3.63,1.0,2.63,2
11,CUST137,Suburban Store,Doctor Strange,Action,2024-03-14,8.09,0.5,7.59,6
12,CUST237,Mall Store,Spider-Man: Far From Home,Action,2024-10-03,11.9,3.0,8.9,8
13,CUST167,Downtown Store,Doctor Strange,Action,2024-08-22,10.22,1.0,9.22,16
14,CUST034,Downtown Store,It Chapter Two,Horror,2025-08-03,10.76,1.0,9.76,8
15,CUST256,Mall Store,Coco,Animation,2025-04-14,3.43,0.5,2.93,2
16,CUST288,Suburban Store,Guardians of the Galaxy,Action,2024-09-26,9.47,1.5,7.970000000000001,12
17,CUST113,Downtown Store,Inception,Sci-Fi,2025-06-05,6.94,0.0,6.94,3
18,CUST082,Suburban Store,Toy Story 4,Animation,2025-03-08,7.96,1.5,6.46,12
19,CUST240,Suburban Store,Moana,Family,2024-09-14,11.71,0.0,11.71,5
20,CUST275,Mall Store,Doctor Strange,Action,2024-12-14,3.12,1.5,1.62,0
21,CUST002,Suburban Store,Finding Nemo,Family,2024-09-26,11.72,0.5,11.22,5
22,CUST153,Suburban Store,Coco,Animation,2025-06-03,8.09,0.5,7.59,9
23,CUST083,Suburban Store,Inside Out,Animation,2025-06-27,11.18,2.0,9.18,12
24,CUST010,Downtown Store,Shrek,Animation,2025-01-06,10.79,1.0,9.79,8
25,CUST124,Suburban Store,Frozen II,Family,2024-03-21,2.86,1.5,1.3599999999999999,0
26,CUST273,Downtown Store,Inside Out,Animation,2024-05-11,8.6,2.0,6.6,6
27,CUST271,Suburban Store,It Chapter Two,Horror,2025-03-09,11.64,2.0,9.64,8
28,CUST160,Mall Store,Up,Family,2025-01-17,6.38,2.0,4.38,8
29,CUST127,Downtown Store,The Lion King,Family,2024-03-06,5.38,2.0,3.38,2
30,CUST113,Downtown Store,Black Panther,Action,2024-03-13,9.08,0.0,9.08,8
31,CUST017,Mall Store,Joker,Drama,2024-03-13,7.14,1.0,6.14,12
32,CUST277,Downtown Store,Captain Marvel,Action,2025-08-07,7.76,0.5,7.26,12
33,CUST098,Downtown Store,The Dark Knight,Action,2024-04-09,8.59,1.0,7.59,12
34,CUST240,Suburban Store,The Dark Knight,Action,2024-02-25,8.73,3.0,5.73,2
35,CUST207,Suburban Store,Frozen II,Family,2024-12-13,10.01,0.0,10.01,10
36,CUST098,Suburban Store,Captain Marvel,Action,2025-04-04,3.4,0.5,2.9,3
37,CUST128,Downtown Store,Finding Nemo,Family,2025-03-29,10.08,2.0,8.08,4
38,CUST277,Downtown Store,Frozen II,Family,2024-04-05,11.26,0.5,10.76,10
39,CUST249,Mall Store,The Dark Knight,Action,2024-08-06,10.65,0.0,10.65,10
40,CUST002,Mall Store,Titanic,Romance,2024-09-28,11.27,1.5,9.77,12
41,CUST285,Suburban Store,The Dark Knight,Action,2025-05-13,3.55,1.0,2.55,2
42,CUST297,Suburban Store,Frozen II,Family,2025-07-09,2.61,1.0,1.6099999999999999,0
43,CUST300,Mall Store,Frozen II,Family,2025-05-29,11.19,2.0,9.19,8
44,CUST261,Downtown Store,Frozen II,Family,2024-07-09,2.69,0.0,2.69,2
45,CUST062,Suburban Store,Titanic,Romance,2024-09-09,7.79,0.0,7.79,3
46,CUST299,Suburban Store,The Dark Knight,Action,2025-06-19,5.16,1.0,4.16,4
47,CUST161,Downtown Store,Doctor Strange,Action,2024-09-28,5.96,3.0,2.96,3
48,CUST162,Downtown Store,Finding Nemo,Family,2024-01-10,6.58,2.0,4.58,2
49,CUST276,Downtown Store,Joker,Drama,2025-06-02,4.65,1.0,3.6500000000000004,1
50,CUST190,Mall Store,Aladdin,Family,2024-06-10,6.38,2.0,4.38,6
51,CUST271,Downtown Store,Moana,Family,2025-07-21,4.99,3.0,1.9900000000000002,0
52,CUST136,Downtown Store,Toy Story 4,Animation,2024-04-19,9.42,0.5,8.92,12
53,CUST108,Suburban Store,John Wick 3,Action,2024-12-17,4.04,3.0,1.04,0
54,CUST251,Mall Store,Minions,Animation,2024-02-22,2.92,1.5,1.42,0
55,CUST002,Mall Store,Frozen II,Family,2024-05-13,8.37,1.0,7.369999999999999,6
56,CUST227,Suburban Store,Guardians of the Galaxy,Action,2025-03-13,7.61,0.0,7.61,3
57,CUST077,Suburban Store,Up,Family,2024-02-06,10.35,2.0,8.35,8
58,CUST066,Downtown Store,The Dark Knight,Action,2024-11-11,5.65,0.0,5.65,6
59,CUST128,Suburban Store,Captain Marvel,Action,2024-04-15,5.54,2.0,3.54,4
60,CUST080,Downtown Store,Moana,Family,2024-06-15,11.76,0.5,11.26,20
61,CUST092,Suburban Store,Avengers: Endgame,Action,2024-12-06,9.82,1.5,8.32,8
62,CUST082,Suburban Store,It Chapter Two,Horror,2024-04-20,5.83,0.0,5.83,8
63,CUST103,Mall Store,Aladdin,Family,2024-12-24,5.05,0.5,4.55,4
64,CUST099,Mall Store,Avengers: Endgame,Action,2024-12-02,4.79,0.0,4.79,6
65,CUST261,Mall Store,Inception,Sci-Fi,2025-07-03,5.31,0.0,5.31,2
66,CUST092,Suburban Store,It Chapter Two,Horror,2024-09-28,2.38,2.0,0.3799999999999999,0
67,CUST161,Mall Store,Inception,Sci-Fi,2025-06-07,3.16,2.0,1.1600000000000001,0
68,CUST023,Suburban Store,It Chapter Two,Horror,2025-03-22,2.02,2.0,0.020000000000000018,0
69,CUST221,Downtown Store,Inception,Sci-Fi,2024-12-04,8.23,3.0,5.23,2
70,CUST154,Suburban Store,Guardians of the Galaxy,Action,2024-11-12,8.67,1.0,7.67,12
71,CUST152,Suburban Store,Up,Family,2024-05-10,3.92,3.0,0.9199999999999999,0
72,CUST090,Suburban Store,Doctor Strange,Action,2025-08-05,5.01,2.0,3.01,1
73,CUST147,Downtown Store,John Wick 3,Action,2025-03-16,9.86,2.0,7.859999999999999,9
74,CUST227,Mall Store,Finding Nemo,Family,2024-08-06,7.11,3.0,4.11,4
75,CUST044,Mall Store,Doctor Strange,Action,2025-06-11,8.64,2.0,6.640000000000001,9
76,CUST121,Suburban Store,Joker,Drama,2024-11-13,4.25,0.5,3.75,2
77,CUST024,Downtown Store,Avengers: Endgame,Action,2025-05-01,8.11,0.0,8.11,16
78,CUST295,Downtown Store,The Dark Knight,Action,2025-01-28,6.94,0.5,6.44,6
79,CUST003,Downtown Store,Coco,Animation,2025-03-11,4.19,3.0,1.1900000000000004,0
80,CUST286,Downtown Store,Frozen II,Family,2024-05-04,6.56,1.5,5.06,6
81,CUST227,Suburban Store,Inside Out,Animation,2025-05-31,6.27,2.0,4.27,8
